# Smurf data generated: 2020-11-27_11:23:30

year,total_articles,AIDS,HIV
1750,2330,0,1
1751,3495,0,15
1752,4104,0,14
1753,5256,1,6
1754,5079,0,6
1755,5360,0,4
1756,5389,0,4
1757,5671,3,7
1758,5435,1,6
1759,8721,0,8
1760,9839,1,12
1761,10670,0,11
1762,9933,2,13
1763,12167,0,18
1764,13140,0,22
1765,13052,2,17
1766,12771,1,33
1767,16015,1,34
1768,12178,3,7
1769,14828,0,21
1770,16697,1,23
1771,17203,7,32
1772,15550,2,18
1773,20718,2,26
1774,21246,5,10
1775,22122,8,22
1776,21783,4,18
1777,22870,6,22
1778,21627,2,22
1779,20012,1,21
1780,20449,0,24
1781,19947,1,39
1782,20370,3,27
1783,19765,4,24
1784,21024,10,16
1785,21263,9,24
1786,22505,11,25
1787,22623,13,21
1788,23479,8,21
1789,26752,4,42
1790,27384,8,46
1791,27564,13,29
1792,31187,6,50
1793,27566,5,52
1794,27866,6,36
1795,29733,12,52
1796,29501,12,66
1797,34804,7,81
1798,38654,7,75
1799,36042,4,62
1800,41106,3,70
1801,40159,7,65
1802,44762,6,78
1803,48330,16,99
1804,54202,16,98
1805,52922,10,76
1806,56117,11,90
1807,54383,14,96
1808,56836,17,110
1809,55020,10,80
1810,61219,10,120
1811,64804,19,181
1812,62188,18,141
1813,57351,18,119
1814,56242,20,160
1815,61471,16,149
1816,68480,21,110
1817,71444,16,131
1818,73217,16,147
1819,72636,14,120
1820,74386,30,135
1821,72641,14,116
1822,69551,11,80
1823,70795,14,94
1824,72598,14,76
1825,72513,15,70
1826,75489,14,65
1827,72464,13,49
1828,77040,14,55
1829,83234,23,53
1830,87142,23,37
1831,92587,20,44
1832,95859,20,51
1833,94561,30,70
1834,95392,15,61
1835,100776,27,48
1836,107913,23,64
1837,101883,21,66
1838,102325,17,50
1839,97931,25,68
1840,111141,13,64
1841,114295,12,88
1842,134953,17,124
1843,121856,20,83
1844,111087,15,59
1845,142445,19,78
1846,149953,17,91
1847,160082,16,77
1848,160119,21,80
1849,166075,23,107
1850,172939,9,92
1851,199217,15,106
1852,226865,8,120
1853,224897,15,147
1854,237286,14,153
1855,253060,14,140
1856,270437,12,156
1857,292611,17,185
1858,319745,16,212
1859,317357,28,220
1860,321263,23,215
1861,343568,29,239
1862,355256,27,246
1863,379298,28,232
1864,360761,21,217
1865,398158,24,200
1866,440161,28,266
1867,480894,21,278
1868,527714,25,262
